;pt;standard_pt
3658;abscess gum;gingival abscess
3659;skin tumor;neoplasm skin
3660;cellulitis of foot;cellulitis
3661;lice nos;lice infestation
3662;spinal hemilaminectomy;spinal laminectomy
3663;precursor b-lymphoblastic lymphoma/leukemia;precursor b-lymphoblastic lymphoma
3664;atypical depressive disorder;depression
3665;heartbeats increased;heart rate increased
3666;non-ulcer dyspepsia;dyspepsia
3667;lymphocytopenia;lymphopenia
3668;narcolepsy with cataplexy;narcolepsy
3669;meningeal carcinomatosis;metastases to meninges
3670;congestive cardiac failure;cardiac failure congestive
3671;squamous cell carcinoma of skin in situ;bowen's disease
3672;familial hypercholesterolaemia;type iia hyperlipidaemia
3673;pain of extremities;pain in extremity
3674;brain disorder nos;cerebral disorder
3675;luteinizing hormone decreased;blood luteinising hormone decreased
3676;follicle-stimulating hormone decreased;blood follicle stimulating hormone decreased
3677;generalized flushing;flushing
3678;irregular pulse;heart rate irregular
3679;herpes simplex type i;herpes simplex
3680;eyelash thinning;madarosis
3681;staphylococcus aureus septicemia;staphylococcal sepsis
3682;myasthenia;muscular weakness
3683;osteolytic lesion;osteolysis
3684;primary malignant neoplasm of liver;hepatic cancer
3685;gastrointestinal ulcer nos;gastrointestinal ulcer
3686;refractory anemia with an excess of blasts;refractory anaemia with an excess of blasts
3687;abnormal bowel sounds;gastrointestinal sounds abnormal
3688;functional blood flow disorder;cardiovascular disorder
3689;light sleep;poor quality sleep
3690;arousal night;middle insomnia
3691;pins and needles;paraesthesia
3692;sprain;ligament sprain
3693;acquired hemophilia;acquired haemophilia
3694;sleepy;somnolence
3695;painful urination;dysuria
3696;ankles swollen;joint swelling
3697;scan nos parathyroid;scan parathyroid
3698;oedematous weight gain;oedema
3699;implantable cardioverter defibrillator insertion;implantable defibrillator insertion
3700;wasp sting;arthropod sting
3701;acute and transient psychotic disorder;acute psychosis
3702;allergic rhinitis due to pollen;seasonal allergy
3703;creatinine;blood creatinine
3704;pain in upper extremities;pain in extremity
3705;myocardial perfusion scan;scan myocardial perfusion
3706;sore mouth;oral pain
3707;cancer of ovary;ovarian cancer
3708;costal pain;musculoskeletal chest pain
3709;prophylaxis against liver transplant rejection;prophylaxis against transplant rejection
3710;muscle stiffness;musculoskeletal stiffness
3711;head tremor;head titubation
3712;ankle oedema;oedema peripheral
3713;crp increased;c-reactive protein increased
3714;low back ache;back pain
3715;otitis media serous;otitis media
3716;bechterew's disease;ankylosing spondylitis
3717;duodenal erosion;erosive duodenitis
3718;streptococcal pyoderma;pyoderma streptococcal
3719;peptic ulcer disease;peptic ulcer
3720;extrapyramidal symptoms;extrapyramidal disorder
3721;arthroplasty nos;joint arthroplasty
3722;epilepsy grand mal;generalised tonic-clonic seizure
3723;cgvhd;chronic graft versus host disease
3724;gastrointestinal tract cancer nos;gastrointestinal carcinoma
3725;enterobius vermicularis infection;enterobiasis
3726;sustained ventricular tachycardia;ventricular tachycardia
3727;paresthesia foot;paraesthesia
3728;high altitude illness;hypobarism
3729;ear infection nos;ear infection
3730;chronic urticaria;urticaria chronic
3731;myoclonic encephalopathy of infants;opsoclonus myoclonus
3732;stomach flu;gastroenteritis viral
3733;anxious depression;depression
3734;cervicalgia;neck pain
3735;polyps;polyp
3736;schizoid personality;schizoid personality disorder
3737;cobalamin deficiency;vitamin b12 deficiency
3738;hypolipidemia;hypolipidaemia
3739;psychosis manic-depressive;bipolar i disorder
3740;low density lipoprotein cholesterol high;low density lipoprotein increased
3741;low hdl;high density lipoprotein decreased
3742;dysfunctions associated with sleep stages or arousal from sleep;dyssomnia
3743;myelofibrosis with myelometaplasia;myelofibrosis
3744;appetite impaired;decreased appetite
3745;salmonella;salmonellosis
3746;impingement syndrome shoulder;rotator cuff syndrome
3747;tooth discoloration;tooth discolouration
3748;immune disorder (nos);immune system disorder
3749;liver cell carcinoma resectable;hepatocellular carcinoma
3750;hypertension aggravated;hypertension
3751;lower abdominal pain;abdominal pain lower
3752;lymphoid leukemia;lymphocytic leukaemia
3753;joint inflammation;arthritis
3754;foetal supraventricular tachycardia;tachycardia foetal
3755;back pain (with radiation);back pain
3756;hemorrhage in pregnancy;haemorrhage in pregnancy
3757;fibromyalgia worsened;fibromyalgia
3758;rabies immunization;rabies immunisation
3759;desensitisation injection;immune tolerance induction
3760;dilated pupils;mydriasis
3761;tingling of extremity;paraesthesia
3762;scabies;acarodermatitis
3763;critical limb ischemia;peripheral arterial occlusive disease
3764;diffuse systemic sclerosis;systemic scleroderma
3765;inflammatory polyarthritis;polyarthritis
3766;thrush vaginal;vulvovaginal candidiasis
3767;pituitary insufficiency;hypopituitarism
3768;guillain barre syndrome;guillain-barre syndrome
3769;anxiety state, unspecified;anxiety
3770;pacemaker insertion (cardiac);cardiac pacemaker insertion
3771;precursor t-lymphoblastic lymphoma/leukemia;precursor t-lymphoblastic lymphoma/leukaemia
3772;precursor t-lymphoblastic lymphoma/leukemia recurrent;precursor t-lymphoblastic lymphoma/leukaemia recurrent
3773;malignant neoplasm of esophagus;oesophageal carcinoma
3774;wound infection due to staphylococcus aureus;wound infection staphylococcal
3775;polymorphic ventricular tachycardia;ventricular tachycardia
3776;spasm of artery;arterial spasm
3777;lactation suppressed;suppressed lactation
3778;acute liver failure;acute hepatic failure
3779;varicella zoster;varicella zoster virus infection
3780;mole of skin;melanocytic naevus
3781;breast carcinoma stage i;breast cancer stage i
3782;retinal edema;retinal oedema
3783;peripheral blood stem cell harvest;peripheral blood stem cell apheresis
3784;pathologic fracture of vertebrae;pathological fracture
3785;breast carcinoma stage ii;breast cancer stage ii
3786;sexual desire decreased;libido decreased
3787;inability to maintain erection;erectile dysfunction
3788;phase-shift disruption of 24-hour sleep-wake cycle;non-24-hour sleep-wake disorder
3789;hypoesthesia;hypoaesthesia
3790;hemorrhage control;haemostasis
3791;uric acid decreased;blood uric acid decreased
3792;generalised illness;illness
3793;malignant neoplasm of bronchus and lung in situ;lung carcinoma cell type unspecified stage 0
3794;sensorineural hearing loss;deafness neurosensory
3795;chronic pulmonary embolism;pulmonary embolism
3796;heavy smoker;tobacco user
3797;malignant peripheral nerve sheath tumor;neurofibrosarcoma
3798;mixed hyperlipidemia;type v hyperlipidaemia
3799;laceration of arm;skin laceration
3800;pid;pelvic inflammatory disease
3801;transient cerebral ischemia;transient ischaemic attack
3802;posterior uveitis;chorioretinitis
3803;combative reaction;aggression
3804;vein discoloration;vein discolouration
3805;laceration of finger;skin laceration
3806;c.difficile colitis;clostridium difficile colitis
3807;manic depressive;bipolar i disorder
3808;thrombosis arm;thrombosis
3809;elevated blood pressure reading without diagnosis of hypertension;blood pressure increased
3810;gait abnormal;gait disturbance
3811;light periods;hypomenorrhoea
3812;juvenile chronic polyarthritis;juvenile idiopathic arthritis
3813;chronic pancreatitis;pancreatitis chronic
3814;breast carcinoma nos stage i;breast cancer stage i
3815;escherichia bacteremia;escherichia bacteraemia
3816;arteriosclerotic cardiovascular disease;arteriosclerosis
3817;neurosis nos;neurosis
3818;surgical site reaction;procedural site reaction
3819;breakthrough cancer pain;breakthrough pain
3820;swelling of fingers;peripheral swelling
3821;embedded iud;embedded device
3822;extrauterine intra-abdominal localisation of iud;device dislocation
3823;adenitis;lymphadenitis
3824;autoimmune hemolytic anemia;autoimmune haemolytic anaemia
3825;tumor hemorrhage;tumour haemorrhage
3826;carcinoma of liver;hepatic cancer
3827;nasal polyp;nasal polyps
3828;stools hard;faeces hard
3829;epidermoid carcinoma;squamous cell carcinoma
3830;fractured ribs;rib fracture
3831;therapeutic embolization;therapeutic embolisation
3832;adenoma;adenoma benign
3833;lateral epicondylitis;epicondylitis
3834;opioid abuse;drug abuse
3835;computerized tomography;computerised tomogram
3836;neoplasm of unspecified nature of respiratory system;respiratory tract neoplasm
3837;postprandial hypoglycemia;postprandial hypoglycaemia
3838;perennial allergic rhinitis;rhinitis perennial
3839;ischaemic stroke nos;ischaemic stroke
3840;pain pharynx;oropharyngeal pain
3841;intravenous pyelography;urogram
3842;panmyelosis;marrow hyperplasia
3843;visual disturbances;visual impairment
3844;dry macular degeneration;dry age-related macular degeneration
3845;non-hodgkin's lymphoma progression;non-hodgkin's lymphoma
3846;panic disorder nos;panic disorder
3847;disorder eye;eye disorder
3848;sensation of pressure in eye;ocular discomfort
3849;colitis ulcerative acute episode;colitis ulcerative
3850;exertional dyspnea;dyspnoea exertional
3851;carcinoma uterine cervix;cervix carcinoma
3852;diabetes mellitus loss of control;diabetes mellitus inadequate control
3853;esophageal varices;varices oesophageal
3854;prostatic carcinoma;prostate cancer
3855;swelling of l knee;joint swelling
3856;overdose accidental;accidental overdose
3857;bacterial infection due to helicobacter pylori (h. pylori);helicobacter infection
3858;premature uterine contractions;premature labour
3859;high pulse rate;heart rate increased
3860;unspecified vitamin d deficiency;vitamin d deficiency
3861;localised muscle pain;myalgia
3862;tumor compression;tumour compression
3863;secondary malignant neoplasm of lung;metastases to lung
3864;excessive menstruation;heavy menstrual bleeding
3865;distended blood vessels;vasodilatation
3866;allergic rhinoconjunctivitis;conjunctivitis allergic
3867;breast cancer nos;breast cancer
3868;chronic duodenitis;duodenitis
3869;cmv retinitis;cytomegalovirus chorioretinitis
3870;malignant urinary tract neoplasm nos;malignant urinary tract neoplasm
3871;drug allergy;drug hypersensitivity
3872;difficult digestion;dyspepsia
3873;mood disorder;affective disorder
3874;duodenal ulcer bleeding;duodenal ulcer haemorrhage
3875;impotent;erectile dysfunction
3876;coronary bypass;coronary artery bypass
3877;poison ivy rash;dermatitis contact
3878;distress gastrointestinal;abdominal discomfort
3879;unhappiness;depressed mood
3880;sle nephritis;lupus nephritis
3881;haemoglobin low;haemoglobin decreased
3882;hdl low;high density lipoprotein decreased
3883;urinary tract disorder nos;urinary tract disorder
3884;decreased blood sugar;blood glucose decreased
3885;primitive neuroectodermal tumor;primitive neuroectodermal tumour
3886;malignant neoplasm of liver, specified as secondary;metastases to liver
3887;hypermenorrhea;heavy menstrual bleeding
3888;ringing in ears;tinnitus
3889;angiodysplasia of small intestine;gastrointestinal angiodysplasia
3890;venous obstruction;venous occlusion
3891;dietary b12 deficiency;vitamin b12 deficiency
3892;schizophrenia aggravated;schizophrenia
3893;pain stomach;abdominal pain upper
3894;infection upper respiratory;upper respiratory tract infection
3895;pressure blood increased;blood pressure increased
3896;micturition frequency;pollakiuria
3897;ingrowing toe nail;ingrowing nail
3898;meniscus tear;meniscus injury
3899;deafness right ear;deafness unilateral
3900;secondary malignant neoplasm of kidney;metastases to kidney
3901;stevens johnson syndrome;stevens-johnson syndrome
3902;hot flushes menopausal;menopausal symptoms
3903;choledocholithiasis;bile duct stone
3904;antidiarrheal supportive care;antidiarrhoeal supportive care
3905;common migraine;migraine without aura
3906;takayasu's disease;takayasu's arteritis
3907;degeneration of cervical intervertebral disc;intervertebral disc degeneration
3908;back pain (without radiation);back pain
3909;tingling feet/hands;paraesthesia
3910;gastric pain;abdominal pain upper
3911;hand swelling;peripheral swelling
3912;acute upper respiratory tract inflammation;upper respiratory tract inflammation
3913;gh decreased;blood growth hormone decreased
3914;herpetiform lesion;herpes virus infection
3915;estrogen receptor positive breast cancer;hormone receptor positive breast cancer
3916;eye numbness;hypoaesthesia eye
3917;diverticulum esophageal;diverticulum oesophageal
3918;chronic rhinitis;rhinitis
3919;pe;pulmonary embolism
3920;lymph node disorder;lymphadenopathy
3921;meniscus tear of knee;meniscus injury
3922;bowel perforation;intestinal perforation
3923;neck stiffness;musculoskeletal stiffness
3924;edema legs;oedema peripheral
3925;purulent bronchitis;bronchitis bacterial
3926;vomiting post chemotherapy;vomiting
3927;thrombosis pulmonary;pulmonary thrombosis
3928;unspecified disorder of autonomic nervous system;autonomic neuropathy
3929;menses painful;dysmenorrhoea
3930;acth abnormal;blood corticotrophin abnormal
3931;general symptom nos;general symptom
3932;renal cell carcinoma nos;renal cell carcinoma
3933;feeling queasy;nausea
3934;continuous urinary leakage;urinary incontinence
3935;osteoarthritis of lumbar spine;spinal osteoarthritis
3936;cad;coronary artery disease
3937;hysterosalpingography;hysterosalpingogram
3938;unspecified disorder of plasma protein metabolism;plasma protein metabolism disorder
3939;nodular lymphoma involving spleen;b-cell lymphoma stage iii
3940;pleuritis;pleurisy
3941;neoplasm urinary bladder;bladder neoplasm
3942;bronchoconstriction;bronchospasm
3943;candidiasis respiratory;respiratory moniliasis
3944;acne nos;acne
3945;kaposi's sarcoma nos;kaposi's sarcoma
3946;lymphedema;lymphoedema
3947;liver cell carcinoma non-resectable;hepatocellular carcinoma
3948;malt lymphoma;extranodal marginal zone b-cell lymphoma (malt type)
3949;hepatic disease;liver disorder
3950;pain in cervical spine;spinal pain
3951;sexual function abnormal;sexual dysfunction
3952;treatment withdrawal;therapy cessation
3953;multiple sclerosis exacerbation;multiple sclerosis
3954;adhesive capsulitis;periarthritis
3955;insect bite nos;arthropod bite
3956;pre-diabetic;glucose tolerance impaired
3957;bleeding genital;genital haemorrhage
3958;inflammation bile duct;cholangitis
3959;itchy throat;throat irritation
3960;melena;melaena
3961;oral rehydration;fluid replacement
3962;bowel discomfort;abdominal discomfort
3963;glucose low;blood glucose decreased
3964;diabetes with renal manifestations;diabetic nephropathy
3965;swallowing difficult;dysphagia
3966;heart fluttering;cardiac flutter
3967;lymphomatous meningitis;metastases to meninges
3968;anovulation;anovulatory cycle
3969;prolapsed disc nos;intervertebral disc protrusion
3970;hdl decreased;high density lipoprotein decreased
3971;shivering;chills
3972;blood neutrophils abnormal;neutrophil count abnormal
3973;biliary carcinoma;bile duct cancer
3974;coxarthritis;arthritis
3975;boil;furuncle
3976;malignant hemangiopericytoma;malignant haemangiopericytoma
3977;macular degeneration (senile) of retina, unspecified;age-related macular degeneration
3978;thyroid papillary carcinoma;papillary thyroid cancer
3979;herbal supplement;phytotherapy
3980;epilepsy petit mal;petit mal epilepsy
3981;raised blood pressure;blood pressure increased
3982;disorder penis;penis disorder
3983;hyperuricaemic arthritis;gouty arthritis
3984;anemia, postpartum;anaemia of pregnancy
3985;ringworm nos;tinea infection
3986;klebsiella pneumonia;pneumonia klebsiella
3987;hair growth increased;hair growth abnormal
3988;injury to finger nos;limb injury
3989;reactive depression;adjustment disorder with depressed mood
3990;gallstones;cholelithiasis
3991;mycoplasma pneumoniae pneumonia;pneumonia mycoplasmal
3992;back disorder nos;back disorder
3993;rhizopus infection;mucormycosis
3994;diabetes mellitus without mention of complication;diabetes mellitus
3995;uncomplicated hypertension;hypertension
3996;escherichia coli infection;escherichia infection
3997;anemia vitamin b12 deficiency;anaemia vitamin b12 deficiency
3998;anaemia, unspecified;anaemia
3999;prolapse vaginal;vaginal prolapse
4000;neuritis nos;neuritis
4001;unspecified disorder of lactation;lactation disorder
4002;abnormal eeg;electroencephalogram abnormal
4003;iga deficiency;selective iga immunodeficiency
4004;pain foot;pain in extremity
4005;recurrent infection;infection
4006;secondary acquired hypogammaglobulinemia;secondary immunodeficiency
4007;bronchopulmonary infection;pneumonia
4008;localised itching;pruritus
4009;pheochromocytoma;phaeochromocytoma
4010;augmentation mammoplasty;mammoplasty
4011;skin fungal infection nos;fungal skin infection
4012;alcoholic withdrawal symptoms;alcohol withdrawal syndrome
4013;hypersalivation;salivary hypersecretion
4014;antiestrogen therapy;antioestrogen therapy
4015;low blood pressure;hypotension
4016;tumor associated fever;tumour associated fever
4017;swollen glands;lymphadenopathy
4018;chronic myelocytic leukemia;chronic myeloid leukaemia
4019;ovarian chocolate cyst;endometriosis
4020;uric acid;blood uric acid
4021;small stature;short stature
4022;bacteroides bacteremia;bacteroides bacteraemia
4023;vertebral fracture;spinal fracture
4024;embolism lung;pulmonary embolism
4025;dog scratch;animal scratch
4026;cerebrovascular accident nos;cerebrovascular accident
4027;acute gastritis;gastritis
4028;lymphoplasmacytic type lymphoma (kiel classification);lymphoplasmacytoid lymphoma/immunocytoma
4029;sickle cell anemia;sickle cell anaemia
4030;angle glaucoma closed;angle closure glaucoma
4031;adult t-cell lymphoma/leukemia;adult t-cell lymphoma/leukaemia
4032;urinary bladder carcinoma;bladder cancer
4033;legally induced abortion;abortion induced
4034;malignant neoplasm of anterior aspect of epiglottis;oropharyngeal cancer
4035;worry;anxiety
4036;ulcerative colitis, unspecified;colitis ulcerative
4037;paranoid state;paranoia
4038;infection urinary tract;urinary tract infection
4039;lymphosarcoma;non-hodgkin's lymphoma
4040;hip arthrosis;osteoarthritis
4041;gastralgia;abdominal pain upper
4042;fracture of spine;spinal fracture
4043;aspergillus fumigatus infection;aspergillus infection
4044;pustular rash;rash pustular
4045;thrombopenia;thrombocytopenia
4046;prostatic bleeding;prostatic haemorrhage
4047;upper abdominal discomfort;abdominal discomfort
4048;sodium replacement;electrolyte substitution therapy
4049;end stage renal failure;end stage renal disease
4050;induced abortion;abortion induced
4051;attention-seeking behavior;attention-seeking behaviour
4052;antidiuretic hormone disorder;antidiuretic hormone abnormality
4053;adh disorder;antidiuretic hormone abnormality
4054;angiitis;vasculitis
4055;cruralgia;sciatica
4056;adrenal cortical hypofunction;adrenal insufficiency
4057;uric acid nephropathy acute;urate nephropathy
4058;iron decreased;blood iron decreased
4059;gastric candidiasis;gastrointestinal candidiasis
4060;candidemia;systemic candida
4061;multiple cerebral infarction;cerebral infarction
4062;chronic pulmonary heart disease, unspecified;cor pulmonale chronic
4063;venous embolism and thrombosis, other;embolism venous
4064;paraproteinemia;paraproteinaemia
4065;embolus mesenteric;mesenteric artery embolism
4066;erection inadequate;erectile dysfunction
4067;sprained ankle;ligament sprain
4068;exanthema;rash
4069;chronic myelogenous leukaemia;chronic myeloid leukaemia
4070;ovarian dysfunction;ovarian disorder
4071;intraocular pressure low;intraocular pressure decreased
4072;cardiac dysrhythmia, unspecified;arrhythmia
4073;pain neck;neck pain
4074;cramps calf;muscle spasms
4075;urination impaired;dysuria
4076;adenocarcinoma lung stage iv;lung adenocarcinoma stage iv
4077;anti-n-methyl-d-aspartate receptor antibody;anti-nmda antibody
4078;esophageal adenocarcinoma abdominal stage iv;oesophageal adenocarcinoma stage iv
4079;haemorrhage of digestive tract;gastrointestinal haemorrhage
4080;mammary ductal intraepithelial neoplasia;intraductal proliferative breast lesion
4081;hip prosthesis user;joint prosthesis user
4082;urination pain;dysuria
4083;estrogen therapy;oestrogen therapy
4084;hyperexcitability;agitation
4085;vaginal candida;vulvovaginal candidiasis
4086;autoimmune deficiency syndrome;autoimmune disorder
4087;hemophilia a (factor viii);factor viii deficiency
4088;joint bleeding;haemarthrosis
4089;malignant neoplasm of ureter;ureteric cancer
4090;infectious pneumonitis;pneumonia
4091;lymphangiomatosis;lymphangioma
4092;circulatory disorder peripheral;peripheral vascular disorder
4093;ppd skin test positive;tuberculin test positive
4094;pituitary microadenoma;pituitary tumour benign
4095;infection staphylococcal;staphylococcal infection
4096;enterococcal endocarditis;endocarditis enterococcal
4097;spinal osteomyelitis;osteomyelitis
4098;infection of amputation stump;postoperative wound infection
4099;cyst ovary;ovarian cyst
4100;vasovagal attack;presyncope
4101;carotid angiography;arteriogram carotid
4102;heavy sun exposure;heavy exposure to ultraviolet light
4103;night sweat;night sweats
4104;drug dependence of morphine type;drug dependence
4105;infectious and parasitic diseases, unspecified;infection
4106;dysfunction thyroid;thyroid disorder
4107;zona;herpes zoster
4108;advanced cancer;neoplasm malignant
4109;kidney carcinoma;renal cancer
4110;skin disinfection;infection prophylaxis
4111;otitis media nos;otitis media
4112;atrophic vaginitis;atrophic vulvovaginitis
4113;malignant neoplasm of kidney, excl pelvis;renal cancer
4114;chest cold;lower respiratory tract infection
4115;psychotic reaction nos;psychotic disorder
4116;macrocytic anemia;anaemia macrocytic
4117;discoid lupus erythematosus;cutaneous lupus erythematosus
4118;labor premature;premature labour
4119;glucose high;blood glucose increased
4120;leg injury;limb injury
4121;testosterone high;blood testosterone increased
4122;cellulitis of hand;cellulitis
4123;shoulder discomfort;musculoskeletal discomfort
4124;tumor ulceration;tumour ulceration
4125;feeling bad;feeling abnormal
4126;diabetes steroid-induced;steroid diabetes
4127;gum infection;gingivitis
4128;bed wetting;enuresis
4129;achondroplasia;chondrodystrophy
4130;lipids nos abnormal;lipids abnormal
4131;nmr;magnetic resonance imaging
4132;sclerosing cholangitis;cholangitis sclerosing
4133;malarial prophylaxis;malaria prophylaxis
4134;baker's cyst;synovial cyst
4135;manic depressive psychosis;bipolar i disorder
4136;testosterone decreased;blood testosterone decreased
4137;pain in thigh;pain in extremity
4138;labyrinthine disorder;inner ear disorder
4139;vasospasm cerebral;cerebral vasoconstriction
4140;hypophosphatemia;hypophosphataemia
4141;dermatitis perioral;perioral dermatitis
4142;jock itch;tinea cruris
4143;bp raised;blood pressure increased
4144;enhanced external counterpulsation;external counterpulsation
4145;fever blister;oral herpes
4146;acute lymphoblastic leukemia recurrent;acute lymphocytic leukaemia recurrent
4147;alcohol addiction;alcoholism
4148;lupus anticoagulant;antiphospholipid antibodies
4149;acute angle closure glaucoma;angle closure glaucoma
4150;nasal stuffiness;nasal congestion
4151;embolus pulmonary;pulmonary embolism
4152;esophageal cancer metastatic;oesophageal cancer metastatic
4153;renal calculi;nephrolithiasis
4154;ischemic ulcer;ischaemic skin ulcer
4155;healing impaired;impaired healing
4156;pulmonary hypertension primary;pulmonary arterial hypertension
4157;bronchiolitis obliterans;obliterative bronchiolitis
4158;pain aggravated;pain
4159;pancreas neoplasm malignant;pancreatic carcinoma
4160;ischemic cardiomyopathy;ischaemic cardiomyopathy
4161;myeloid leukemia, acute;acute myeloid leukaemia
4162;tobacco use disorder;tobacco abuse
4163;adenocarcinoma of the prostate metastatic;prostate cancer metastatic
4164;raynaud's syndrome;raynaud's phenomenon
4165;cold hands;peripheral coldness
4166;threatened premature labor;threatened labour
4167;pyelogram intravenous;urogram
4168;ruptured intervertebral disc;intervertebral disc protrusion
4169;opium addiction;drug dependence
4170;bleeding intermenstrual;intermenstrual bleeding
4171;als;amyotrophic lateral sclerosis
4172;sores mouth;stomatitis
4173;nose bleeds;epistaxis
4174;epilepsy nos;epilepsy
4175;epilepsy, unspecified;epilepsy
4176;bacterial pneumonia, unspecified;pneumonia bacterial
4177;ulcer duodenal;duodenal ulcer
4178;invasive bladder cancer;bladder cancer
4179;fungal infection nos;fungal infection
4180;gi infection;gastrointestinal infection
4181;cellulitis of legs;cellulitis
4182;mouth ulcer;mouth ulceration
4183;breakthrough seizure;seizure
4184;liver cirrhosis;hepatic cirrhosis
4185;omarthritis;arthritis
4186;peripheral ischemia;peripheral ischaemia
4187;dizzy;dizziness
4188;arthritic-like pain;arthralgia
4189;pyogenic arthritis involving lower leg;arthritis bacterial
4190;mediastinal metastases;metastases to the mediastinum
4191;puo;pyrexia
4192;nocturnal frequency;nocturia
4193;oesophageal acid reflux;gastrooesophageal reflux disease
4194;abnormal ecg;electrocardiogram abnormal
4195;svt;supraventricular tachycardia
4196;neck cramps;muscle spasms
4197;endobrachyoesophagus;barrett's oesophagus
4198;chemotherapy inducted emesis prophylaxis;prophylaxis of nausea and vomiting
4199;aortocoronary bypass;coronary artery bypass
4200;pain burning;pain
4201;aortic stenosis & incompetence;aortic valve disease mixed
4202;hyperplasia endometrial;endometrial hyperplasia
4203;prophylactic vaccination;immunisation
4204;diabetic complication nos;diabetic complication
4205;infected ingrowing toe nail;paronychia
4206;exhaustion;fatigue
4207;extrinsic asthma;asthma
4208;heart rate high;heart rate increased
4209;menses lack of;amenorrhoea
4210;hemorrhoidal bleeding;haemorrhoidal haemorrhage
4211;stomach burning sensation of;dyspepsia
4212;prophylaxis against drug-induced peptic ulcers;prophylaxis against gastrointestinal ulcer
4213;chemotherapy induced emesis prophylaxis;prophylaxis of nausea and vomiting
4214;inflammatory reaction;inflammation
4215;nonsteroidal anti-inflammatory analgesic supportive therapy;analgesic intervention supportive therapy
4216;pain worsened;pain
4217;rash in the outer ear;rash
4218;steroid therapy nos;steroid therapy
4219;perianal itching;anal pruritus
4220;computerised tomography;computerised tomogram
4221;pain in heel;pain in extremity
4222;c1 esterase inhibitor deficiency;hereditary angioedema with c1 esterase inhibitor deficiency
4223;old myocardial infarction;myocardial infarction
4224;infected finger;localised infection
4225;asthma chronic;asthma
4226;chronic conjunctivitis;conjunctivitis
4227;fertility investigations;infertility tests
4228;cephalgia;headache
4229;bleeding vaginal;vaginal haemorrhage
4230;ct arteriogram;arteriogram
4231;septicaemia;sepsis
4232;malignant breast neoplasm male;breast cancer male
4233;facial swelling;swelling face
4234;swelling arm;peripheral swelling
4235;house dust mite allergy;mite allergy
4236;paranoid type schizophrenia, chronic state;schizophrenia
4237;nicotine craving;nicotine dependence
4238;ventricular bigeminy;ventricular extrasystoles
4239;anguish;anxiety
4240;traumatic bleeding;traumatic haemorrhage
4241;chronic anxiety;anxiety
4242;pituitary disorder;hypothalamo-pituitary disorder
4243;borderline diabetes;glucose tolerance impaired
4244;tb meningitis;meningitis tuberculous
4245;arthritis lupus erythematosis;sle arthritis
4246;manic psychosis;mania
4247;passed out;loss of consciousness
4248;carcinoma of lung stage iv;lung carcinoma cell type unspecified stage iv
4249;hypoestrogenemia;oestrogen deficiency
4250;familial hypercholesterolemia;type iia hyperlipidaemia
4251;bladder inability to empty;urinary retention
4252;irritation skin;skin irritation
4253;appetite lost;decreased appetite
4254;hemangioma congenital;haemangioma congenital
4255;gastrointestinal neoplasm malignant;gastrointestinal carcinoma
4256;thyroid neoplasm malignant;thyroid cancer
4257;valvular heart disease nos;cardiac valve disease
4258;blood sugar decreased;blood glucose decreased
4259;prostatic cancer;prostate cancer
4260;endometriosis related pain;endometriosis
4261;absence of menstruation;amenorrhoea
4262;pyrexia of unknown origin;pyrexia
4263;triglycerides;blood triglycerides
4264;esophageal disease nos;oesophageal disorder
4265;unspecified vitamin deficiency;hypovitaminosis
4266;uncontrollable crying;crying
4267;rhinitis medicamentosa;rebound nasal congestion
4268;gouty arthropathy;gouty arthritis
4269;trauma;injury
4270;pulmonary hypertension nos;pulmonary hypertension
4271;psychogenic polydipsia;polydipsia psychogenic
4272;disorder thyroid;thyroid disorder
4273;arthritis multiple joint;polyarthritis
4274;polycystic kidney, autosomal dominant;congenital cystic kidney disease
4275;pain sacroiliac;arthralgia
4276;prolonged heavy periods;heavy menstrual bleeding
4277;pure hypercholesterolemia;type iia hyperlipidaemia
4278;malignant neoplasm of bladder;bladder cancer
4279;multiple endocrine neoplasia type i;multiple endocrine neoplasia type 1
4280;abrasions;skin abrasion
4281;olecranon bursitis;bursitis
4282;gallbladder sludge;cholelithiasis
4283;earache;ear pain
4284;sexually inappropriate behavior;sexually inappropriate behaviour
4285;carcinoma prostate;prostate cancer
4286;tietze's syndrome;costochondritis
4287;dysrhythmias;arrhythmia
4288;congestion pulmonary;pulmonary congestion
4289;pneumonia bacterial nos;pneumonia bacterial
4290;shaky feelings;nervousness
4291;urethral infection;urethritis
4292;muscle soreness;myalgia
4293;prolonged periods;heavy menstrual bleeding
4294;lichen sclerosis atrophicus;lichen sclerosus
4295;numbness of limbs;hypoaesthesia
4296;wart;skin papilloma
4297;spondylarthritis;spondylitis
4298;thromboembolism;embolism
4299;osteoporosis steroid-induced;osteoporosis
4300;trochanteric bursitis;bursitis
4301;tetralogy of fallot;fallot's tetralogy
4302;hairiness;hypertrichosis
4303;hiv positive;hiv test positive
4304;morbid obesity;obesity
4305;anesthesia reversal;anaesthesia reversal
4306;osteoblastic osteosarcoma;osteosarcoma
4307;ethmoidal sinusitis;sinusitis
4308;renal neoplasia;renal neoplasm
4309;trochanteric femoral fracture;femur fracture
4310;legionnaire's disease;pneumonia legionella
4311;hypovolemia;hypovolaemia
4312;dementia due to parkinson's disease;dementia
4313;idiopathic osteoporosis;osteoporosis
4314;infection localised;localised infection
4315;tendinitis;tendonitis
4316;malignant neoplasm of abdomen;neoplasm malignant
